Date,Open,High,Low,Close,Predicted High,Predicted Low
20140220,1.1079,1.11125,1.10604,1.1098,1.11928,1.1093
20140221,1.10979,1.11928,1.1093,1.11078,1.11429,1.10543
20140224,1.11048,1.11429,1.10543,1.10615,1.10958,1.1054
20140225,1.10615,1.10958,1.1054,1.10839,1.1144,1.1073
20140226,1.10838,1.1144,1.1073,1.1127,1.11597,1.11176
20140227,1.11268,1.11597,1.11176,1.11201,1.11467,1.10402
20140228,1.1121,1.11467,1.10402,1.10588,1.11098,1.10387
20140303,1.10759,1.11098,1.10387,1.10759,1.11176,1.1062
20140304,1.10759,1.11176,1.1062,1.10918,1.1099,1.10279
20140305,1.10915,1.1099,1.10279,1.10279,1.10459,1.09551
20140306,1.10279,1.10459,1.09551,1.09837,1.11008,1.09803
20140307,1.09837,1.11008,1.09803,1.10862,1.1093,1.10873
20140309,1.10911,1.1093,1.10873,1.10882,1.11303,1.10868
20140310,1.10882,1.11303,1.10868,1.11066,1.11308,1.10715
20140311,1.11065,1.11308,1.10715,1.11042,1.11536,1.10901
20140312,1.11043,1.11536,1.10901,1.11194,1.1122,1.10432
20140313,1.11193,1.1122,1.10432,1.10681,1.11104,1.10668
20140314,1.10683,1.11104,1.10668,1.10996,1.10992,1.10904
20140316,1.10967,1.10992,1.10904,1.1095,1.11073,1.10449
20140317,1.10955,1.11073,1.10449,1.10599,1.11462,1.10252
20140318,1.10595,1.11462,1.10252,1.11363,1.1271,1.11218
20140319,1.11363,1.1271,1.11218,1.12403,1.12781,1.1234
20140320,1.12405,1.12781,1.1234,1.12406,1.12625,1.11735
20140321,1.12405,1.12625,1.11735,1.1218,1.12282,1.12058
20140323,1.12058,1.12282,1.12058,1.12262,1.12463,1.11835
20140324,1.12259,1.12463,1.11835,1.11925,1.12103,1.1155
20140325,1.11925,1.12103,1.1155,1.11676,1.11689,1.10807
20140326,1.11673,1.11689,1.10807,1.11013,1.11058,1.10137
20140327,1.11014,1.11058,1.10137,1.10324,1.10777,1.10005
20140328,1.10325,1.10777,1.10005,1.10578,1.10635,1.10543
20140330,1.10588,1.10635,1.10543,1.10563,1.10668,1.10022
20140331,1.10563,1.10668,1.10022,1.10487,1.10696,1.10123
20140401,1.10486,1.10696,1.10123,1.10233,1.10473,1.10044
20140402,1.10232,1.10473,1.10044,1.10332,1.10454,1.10059
20140403,1.10324,1.10454,1.10059,1.10346,1.10415,1.09569
20140404,1.10346,1.10415,1.09569,1.09784,1.10094,1.09616
20140407,1.09762,1.10094,1.09616,1.09743,1.09777,1.09122
20140408,1.09739,1.09777,1.09122,1.0922,1.09422,1.08578
20140409,1.09222,1.09422,1.08578,1.08792,1.09353,1.08675
20140410,1.08794,1.09353,1.08675,1.09353,1.09838,1.09181
20140411,1.09347,1.09838,1.09181,1.09777,1.09925,1.09422
20140414,1.09756,1.09925,1.09422,1.09613,1.10132,1.09583
20140415,1.09614,1.10132,1.09583,1.0977,1.10334,1.09593
20140416,1.0977,1.10334,1.09593,1.10108,1.10184,1.09834
20140417,1.10104,1.10184,1.09834,1.10016,1.10277,1.09976
20140418,1.1002,1.10277,1.09976,1.10184,1.10308,1.10079
20140421,1.10216,1.10308,1.10079,1.10087,1.10419,1.10004
20140422,1.10088,1.10419,1.10004,1.10249,1.10531,1.10172
20140423,1.10243,1.10531,1.10172,1.10312,1.10384,1.10152
20140424,1.10313,1.10384,1.10152,1.10206,1.10469,1.1014
20140425,1.10206,1.10469,1.1014,1.10378,1.10394,1.10172
20140428,1.10359,1.10394,1.10172,1.10272,1.10295,1.0943
20140429,1.10276,1.10295,1.0943,1.09436,1.09795,1.09424
20140430,1.09436,1.09795,1.09424,1.0961,1.0995,1.09527
20140501,1.09609,1.0995,1.09527,1.09555,1.1006,1.0936
20140502,1.0956,1.1006,1.0936,1.0971,1.09888,1.09487
20140505,1.09779,1.09888,1.09487,1.09535,1.09606,1.0874
20140506,1.09537,1.09606,1.0874,1.08933,1.09073,1.08758
20140507,1.08933,1.09073,1.08758,1.08991,1.09037,1.08139
20140508,1.08989,1.09037,1.08139,1.08299,1.09156,1.08165
20140509,1.08301,1.09156,1.08165,1.08938,1.09041,1.08746
20140512,1.08982,1.09041,1.08746,1.08945,1.0926,1.08869
20140513,1.08948,1.0926,1.08869,1.09037,1.09213,1.08696
20140514,1.09037,1.09213,1.08696,1.08879,1.08907,1.08518
20140515,1.08879,1.08907,1.08518,1.08837,1.08885,1.08556
20140516,1.08836,1.08885,1.08556,1.0856,1.08755,1.085
20140519,1.08611,1.08755,1.085,1.08737,1.09166,1.08709
20140520,1.08733,1.09166,1.08709,1.09066,1.09415,1.08933
20140521,1.09066,1.09415,1.08933,1.09118,1.09305,1.08841
20140522,1.09118,1.09305,1.08841,1.08905,1.09086,1.08599
20140523,1.08905,1.09086,1.08599,1.086,1.08727,1.08531
20140526,1.08705,1.08727,1.08531,1.08573,1.08743,1.08357
20140527,1.0857,1.08743,1.08357,1.08573,1.08862,1.08432
20140528,1.08573,1.08862,1.08432,1.08743,1.08777,1.08253
20140529,1.08742,1.08777,1.08253,1.08356,1.08679,1.08221
20140530,1.08354,1.08679,1.08221,1.08445,1.09113,1.08388
20140602,1.08388,1.09113,1.08388,1.0899,1.09216,1.08906
20140603,1.08987,1.09216,1.08906,1.0908,1.09551,1.0906
20140604,1.0908,1.09551,1.0906,1.09391,1.09602,1.09167
20140605,1.09389,1.09602,1.09167,1.09242,1.09474,1.09054
20140606,1.09242,1.09474,1.09054,1.09304,1.09407,1.09005
20140609,1.0923,1.09407,1.09005,1.09027,1.09209,1.08906
20140610,1.09037,1.09209,1.08906,1.09022,1.09062,1.08612
20140611,1.09019,1.09062,1.08612,1.08668,1.08696,1.08414
20140612,1.08666,1.08696,1.08414,1.08553,1.08703,1.08474
20140613,1.08553,1.08703,1.08474,1.08535,1.08815,1.08356
20140616,1.08542,1.08815,1.08356,1.08441,1.08746,1.084
20140617,1.08438,1.08746,1.084,1.08603,1.08929,1.08349
20140618,1.08601,1.08929,1.08349,1.08351,1.08415,1.08099
20140619,1.08359,1.08415,1.08099,1.08164,1.08258,1.07515
20140620,1.08164,1.08258,1.07515,1.07564,1.07592,1.07166
20140623,1.07568,1.07592,1.07166,1.07307,1.0745,1.07157
20140624,1.07302,1.0745,1.07157,1.07436,1.07517,1.0717
20140625,1.07436,1.07517,1.0717,1.07182,1.07245,1.06828
20140626,1.07182,1.07245,1.06828,1.06879,1.06962,1.06596
20140627,1.0688,1.06962,1.06596,1.06632,1.06964,1.06468
20140630,1.06642,1.06964,1.06468,1.06705,1.06776,1.06302
20140701,1.06705,1.06776,1.06302,1.06303,1.06703,1.06265
20140702,1.06303,1.06703,1.06265,1.06633,1.06799,1.06203
20140703,1.06634,1.06799,1.06203,1.06326,1.06586,1.06302
20140704,1.06325,1.06586,1.06302,1.06479,1.06836,1.06311
20140707,1.06457,1.06836,1.06311,1.06829,1.06942,1.06619
20140708,1.06829,1.06942,1.06619,1.06777,1.06836,1.0641
20140709,1.0678,1.06836,1.0641,1.06501,1.06757,1.06443
20140710,1.06499,1.06757,1.06443,1.06488,1.07364,1.06305
20140711,1.0649,1.07364,1.06305,1.07325,1.0747,1.07096
20140714,1.07352,1.0747,1.07096,1.0711,1.07693,1.07102
